cal_quarter,system_nii,m2,bitcoin,has_fy2025,n_banks
2008-04-01,36224038000,7727.2,,False,17
2008-07-01,51818163000,7823.133333333333,,False,17
2008-10-01,58292464000,8068.866666666667,,False,16
2009-01-01,62176972000,8331.566666666666,,False,20
2009-04-01,66189756000,8433.2,,False,49
2009-07-01,64669189000,8462.699999999999,,False,48
2009-10-01,63272681000,8505.699999999999,,False,49
2010-01-01,72069843000,8509.5,,False,62
2010-04-01,71310415751,8597.3,,False,131
2010-07-01,69550193320,8682.033333333335,,False,134
2010-10-01,65036691942,8793.533333333335,,False,131
2011-01-01,67007275204,8911.266666666666,,False,138
2011-04-01,66226103818,9108.333333333334,,False,138
2011-07-01,66124513632,9475.566666666668,,False,139
2011-10-01,63411957931,9634.933333333334,,False,135
2012-01-01,66740417077,9807.1,,False,140
2012-04-01,65687293122,9960.233333333334,,False,140
2012-07-01,66993484238,10148.733333333334,,False,141
2012-10-01,64356629043,10379.466666666667,,False,135
2013-01-01,67551519766,10539.8,,False,142
2013-04-01,67529764166,10653.566666666668,,False,142
2013-07-01,68033191687,10802.0,,False,144
2013-10-01,67962023998,11014.0,,False,144
2014-01-01,68153547728,11186.733333333334,,False,145
2014-04-01,68357280763,11339.533333333333,,False,145
2014-07-01,69952454445,11483.133333333331,,False,146
2014-10-01,70606046284,11648.3,367.4,False,146
2015-01-01,92857355528,11882.833333333334,247.3325641025641,False,147
2015-04-01,94966735481,11986.8,237.35725274725277,False,148
2015-07-01,96359089924,12117.633333333331,255.73021739130425,False,149
2015-10-01,96396977881,12310.033333333333,346.7514130434785,False,150
2016-01-01,73218986854,12594.733333333334,409.6982417582418,False,154
2016-04-01,73102405378,12799.233333333334,514.1619780219781,False,155
2016-07-01,74650141382,12985.5,616.681847826087,False,155
2016-10-01,76014668871,13188.8,731.2511956521739,False,155
2017-01-01,76717917445,13391.366666666669,1037.4932222222226,False,157
2017-04-01,78432820365,13557.033333333333,1914.219010989011,False,159
2017-07-01,80367324477,13695.3,3491.1142391304347,False,159
2017-10-01,82060907413,13841.766666666666,9489.539021739136,False,159
2018-01-01,82322556996,13954.1,10466.06677777778,False,161
2018-04-01,84024773519,14088.5,7744.973626373628,False,161
2018-07-01,85457821000,14214.433333333334,6798.219347826088,False,161
2018-10-01,87439334000,14308.733333333334,5139.08054347826,False,161
2019-01-01,87026633000,14507.833333333334,3750.586666666666,False,164
2019-04-01,86915417000,14700.633333333331,7275.744835164837,False,163
2019-07-01,86022259924,14969.4,10370.698260869562,False,163
2019-10-01,88005264551,15275.866666666669,7987.182608695653,False,163
2020-01-01,88603693000,15651.166666666666,8268.751098901097,False,164
2020-04-01,84064783000,17727.5,8660.096703296704,False,165
2020-07-01,81622471000,18449.7,10635.166593406591,False,165
2020-10-01,84725130000,18956.766666666663,16858.806847826083,False,165
2021-01-01,82352150000,19631.333333333336,45301.742000000006,False,165
2021-04-01,82495323000,20370.366666666665,46492.08615384615,False,165
2021-07-01,85553288000,20818.266666666663,41973.26304347827,False,165
2021-10-01,88188663000,21331.666666666668,55938.65119565219,False,165
2022-01-01,88728220000,21720.56666666667,41291.744333333336,False,167
2022-04-01,97175191000,21713.233333333337,32470.86098901098,False,167
2022-07-01,108771459000,21609.36666666667,21239.041086956524,False,168
2022-10-01,117232489000,21386.166666666668,18064.512391304343,False,168
2023-01-01,116935895000,21156.233333333337,22875.02433333333,False,168
2023-04-01,116157315000,20796.7,28031.99890109891,False,168
2023-07-01,116467842000,20771.9,28090.098804347832,False,168
2023-10-01,116332110000,20752.533333333333,36295.89489130434,False,168
2024-01-01,113651865000,20914.6,53583.27736263735,False,168
2024-04-01,114307581000,21016.2,65677.14307692308,False,168
2024-07-01,117043321000,21183.833333333332,61102.817608695645,True,167
2024-10-01,119096497000,21423.300000000003,83796.95793478258,True,167
2025-01-01,120057763000,21618.366666666665,93293.01166666664,True,169
2025-04-01,124920757000,21849.466666666667,98930.56604395602,True,167
2025-07-01,131234778000,22092.633333333335,114617.3545652174,True,167
2025-10-01,135713056000,22291.93333333333,99542.77510869569,True,167
2026-01-01,121519919000,22580.8,76546.87299999999,False,168
